Time(s)	s(a)_(kPa)	s(r)_(kPa)	s'(a)(kPa)	s'(r)(kPa)	Pore_(kPa)	p____(kPa)	q____(kPa)	p'___(kPa)	e(a)_(%)_	e(r)_(%)_	e(v)_(%)_	eLDT1(%)_	eLDT2(%)_	AvLDT(%)_	ClipGauge(%)	(s'a-s'r)/2	Nc	DA	
0.000	302.737321	302.168922	7.705292	7.136893	295.032029	302.358388	0.568399	7.326360	0.627471	0.751848	2.131168	0.001751	-0.002553	-0.000401	0.005245	0.284200	-0.500000	5.130053	
0.990	302.883306	302.183126	7.837073	7.136893	295.046233	302.416519	0.700180	7.370287	0.627240	0.752326	2.131892	0.001366	-0.002499	-0.000567	0.004911	0.350090	-0.500000	5.130053	
1.990	302.651586	302.173657	7.617057	7.139128	295.034528	302.332966	0.477929	7.298438	0.627624	0.752035	2.131695	0.001810	-0.002633	-0.000411	0.004942	0.238965	-0.500000	5.130053	
2.990	302.589296	302.131045	7.637612	7.179361	294.951684	302.283796	0.458251	7.332111	0.628317	0.750898	2.130113	0.002348	-0.002710	-0.000181	0.005366	0.229125	-0.500000	5.130053	
3.990	315.604651	302.105794	82.899314	69.400457	232.705338	306.605413	13.498857	73.900076	0.626317	0.892936	2.412189	0.001716	-0.002606	-0.000445	0.005033	6.749428	-0.500000	5.130053	
4.991	317.394477	302.124733	111.718228	96.448483	205.676249	307.214648	15.269745	101.538398	0.622166	1.157328	2.936822	0.001553	-0.002434	-0.000440	0.004760	7.634872	-0.500000	5.130053	
5.991	316.430436	302.102638	113.543407	99.215608	202.887029	306.878571	14.327798	103.991541	0.620321	1.267969	3.156259	0.002196	-0.002681	-0.000243	0.005184	7.163899	-0.500000	5.130053	
6.976	315.279755	302.075809	112.873292	99.669345	202.406463	306.477124	13.203946	104.070661	0.618706	1.301472	3.221651	0.002301	-0.002756	-0.000228	0.005730	6.601973	-0.500000	5.130053	
7.992	314.099472	302.077387	111.955179	99.933094	202.144293	306.084749	12.022085	103.940456	0.614940	1.315181	3.245301	0.001600	-0.002519	-0.000460	0.006488	6.011043	-0.500000	5.130053	
9.008	313.051897	302.134202	111.085481	100.167786	201.966416	305.773434	10.917695	103.807017	0.612326	1.322185	3.256695	0.001424	-0.002499	-0.000537	0.005578	5.458848	-0.500000	5.130053	
10.008	311.848059	302.099482	110.043767	100.295190	201.804292	305.349007	9.748578	103.544715	0.610251	1.325621	3.261493	0.002359	-0.002734	-0.000188	0.006276	4.874289	-0.500000	5.130053	
11.012	310.731712	302.102638	109.054008	100.424934	201.677704	304.978996	8.629075	103.301292	0.608867	1.328979	3.266825	0.002137	-0.002662	-0.000262	0.007306	4.314537	-0.500000	5.130053	
12.012	309.965317	302.145249	108.332190	100.512122	201.633127	304.751938	7.820067	103.118811	0.603947	1.333871	3.271690	0.001343	-0.002494	-0.000576	0.006791	3.910034	-0.500000	5.130053	
13.012	308.932645	302.123154	107.359610	100.550120	201.573035	304.392985	6.809491	102.819950	0.602871	1.335675	3.274222	0.001635	-0.002652	-0.000509	0.006700	3.404745	-0.500000	5.130053	
14.013	307.925357	302.148406	106.371774	100.594823	201.553583	304.074056	5.776951	102.520473	0.601334	1.338010	3.277355	0.002418	-0.002732	-0.000157	0.007185	2.888476	-0.500000	5.130053	
15.013	307.143911	302.124733	105.638588	100.619410	201.505323	303.797792	5.019178	102.292469	0.597568	1.342059	3.281687	0.001833	-0.002570	-0.000368	0.006852	2.509589	-0.500000	5.130053	
16.013	306.458326	302.183126	104.901315	100.626115	201.557011	303.608193	4.275200	102.051182	0.593341	1.345939	3.285220	0.001845	-0.002490	-0.000322	0.006458	2.137600	-0.500000	5.130053	
17.014	305.485987	302.187860	103.928712	100.630585	201.557275	303.287236	3.298127	101.729961	0.591881	1.348336	3.288552	0.001962	-0.002657	-0.000348	0.006882	1.649063	-0.500000	5.130053	
18.016	304.750515	302.184704	103.243335	100.677524	201.507180	303.039974	2.565811	101.532794	0.590343	1.351171	3.292685	0.002172	-0.002650	-0.000239	0.007003	1.282906	-0.500000	5.130053	
19.015	304.239376	302.191017	102.694591	100.646232	201.544785	302.873803	2.048359	101.329018	0.586962	1.354561	3.296085	0.001623	-0.002521	-0.000449	0.005457	1.024180	-0.500000	5.130053	
20.015	303.579024	302.227315	102.024762	100.673053	201.554262	302.677885	1.351709	101.123623	0.584964	1.357160	3.299285	0.001716	-0.002490	-0.000387	0.006367	0.675854	-0.500000	5.130053	
21.015	303.205797	302.208377	101.737528	100.740108	201.468269	302.540850	0.997420	101.072581	0.582889	1.360265	3.303418	0.002137	-0.002742	-0.000302	0.007094	0.498710	-0.500000	5.130053	
22.018	303.057745	302.203642	101.571860	100.717757	201.485886	302.488343	0.854103	101.002458	0.581967	1.361726	3.305418	0.001927	-0.002671	-0.000372	0.007306	0.427051	-0.500000	5.130053	
23.018	303.535188	302.250988	101.975134	100.690935	201.560053	302.679055	1.284200	101.119001	0.580046	1.364020	3.308085	0.001331	-0.002458	-0.000564	0.006548	0.642100	-0.500000	5.130053	
24.019	302.866561	302.257301	101.322546	100.713286	201.544015	302.460388	0.609260	100.916373	0.580046	1.364986	3.310018	0.001681	-0.002635	-0.000477	0.006245	0.304630	-0.500000	5.130053	
25.019	303.268494	302.243097	101.816913	100.791517	201.451580	302.584896	1.025397	101.133316	0.580199	1.365376	3.310952	0.002231	-0.002705	-0.000237	0.006367	0.512698	-0.500000	5.130053	
26.019	303.147186	302.273083	101.632093	100.757989	201.515093	302.564451	0.874103	101.049357	0.579047	1.366953	3.312952	0.001681	-0.002511	-0.000415	0.006185	0.437052	-0.500000	5.130053	
27.020	303.240224	302.290443	101.712241	100.762460	201.527983	302.607037	0.949781	101.079054	0.577587	1.367749	3.313085	0.001226	-0.002463	-0.000619	0.005730	0.474891	-0.500000	5.130053	
28.019	302.844304	302.213112	101.532232	100.901040	201.312072	302.423509	0.631192	101.111437	0.579123	1.367414	3.313952	0.002009	-0.002650	-0.000321	0.006185	0.315596	-0.500000	5.130053	
29.019	303.195580	302.209955	101.904546	100.918921	201.291034	302.538497	0.985625	101.247463	0.578355	1.367898	3.314152	0.002137	-0.002696	-0.000279	0.006063	0.492813	-0.500000	5.130053	
30.020	303.459978	302.257301	101.953961	100.751284	201.506017	302.658193	1.202677	101.152176	0.577510	1.368521	3.314552	0.001494	-0.002485	-0.000495	0.005730	0.601338	-0.500000	5.130053	
31.020	303.005279	302.290443	101.501883	100.787047	201.503397	302.528722	0.714836	101.025325	0.576972	1.368523	3.314019	0.001471	-0.002591	-0.000560	0.005912	0.357418	-0.500000	5.130053	
32.020	302.950524	302.225737	101.547596	100.822809	201.402928	302.467333	0.724787	101.064405	0.578355	1.368165	3.314685	0.002499	-0.002715	-0.000108	0.006579	0.362393	-0.500000	5.130053	
33.021	303.190386	302.260457	101.786265	100.856336	201.404121	302.570434	0.929929	101.166313	0.575973	1.370923	3.317819	0.002137	-0.002582	-0.000222	0.006852	0.464964	-0.500000	5.130053	
