Time(s)	s(a)_(kPa)	s(r)_(kPa)	s'(a)(kPa)	s'(r)(kPa)	Pore_(kPa)	p____(kPa)	q____(kPa)	p'___(kPa)	e(a)_(%)_	e(r)_(%)_	e(v)_(%)_	eLDT1(%)_	eLDT2(%)_	AvLDT(%)_	ClipGauge(%)	(s'a-s'r)/2	Nc	DA	
0.000	229.768582	229.731771	29.889961	29.853149	199.878621	229.744041	0.036812	29.865420	-0.001452	0.000565	-0.000323	-0.000268	0.000149	-0.000060	0.000849	0.018406	-1.000000	0.000000	
0.994	229.877632	229.805946	29.900249	29.828563	199.977383	229.829841	0.071686	29.852458	-0.001604	0.000931	0.000258	-0.000665	0.000166	-0.000249	-0.000576	0.035843	-1.000000	0.000000	
2.001	229.943863	229.804368	29.941237	29.801741	200.002627	229.850866	0.139496	29.848239	-0.000306	0.000443	0.000581	-0.000688	0.000207	-0.000241	-0.000061	0.069748	-1.000000	0.000000	
3.019	229.864070	229.805946	29.917979	29.859855	199.946091	229.825320	0.058124	29.879229	-0.000917	0.000878	0.000839	-0.000000	0.000045	0.000023	0.000576	0.029062	-1.000000	0.000000	
4.019	229.724650	229.788586	29.786979	29.850914	199.937671	229.767274	-0.063935	29.829603	-0.000611	0.000080	-0.000452	0.000163	0.000008	0.000085	0.000455	-0.031968	-1.000000	0.000000	
5.011	229.797913	229.790164	29.863134	29.855385	199.934779	229.792747	0.007750	29.857968	0.000153	-0.000560	-0.000968	-0.000012	0.000025	0.000007	0.000243	0.003875	-1.000000	0.000000	
6.011	229.990788	229.828040	30.000251	29.837503	199.990537	229.882290	0.162747	29.891752	-0.001604	0.001125	0.000645	-0.000560	0.000192	-0.000184	0.000333	0.081374	-1.000000	0.000000	
7.011	230.011886	229.837510	30.016350	29.841974	199.995536	229.895635	0.174376	29.900099	-0.002827	0.002187	0.001548	-0.000758	0.000257	-0.000251	0.000061	0.087188	-1.000000	0.000000	
8.020	229.906886	229.881699	29.889512	29.864325	200.017374	229.890095	0.025187	29.872721	-0.000840	0.001162	0.001484	0.000152	0.000070	0.000111	-0.000424	0.012594	-1.000000	0.000000	
9.020	229.858026	229.858026	29.917969	29.917969	199.940057	229.858026	0.000000	29.917969	-0.000458	0.000100	-0.000258	0.000362	-0.000055	0.000153	-0.000243	0.000000	-1.000000	0.000000	
10.020	229.799620	229.842244	29.884285	29.926910	199.915335	229.828036	-0.042624	29.912702	-0.000382	0.000901	0.001419	0.000082	0.000070	0.000076	-0.000697	-0.021312	-1.000000	0.000000	
11.021	230.057006	229.869074	30.043317	29.855385	200.013689	229.931718	0.187933	29.918029	-0.001681	0.000679	-0.000323	-0.000502	0.000194	-0.000154	-0.000152	0.093966	-1.000000	0.000000	
12.017	229.982744	229.854870	30.007845	29.879971	199.974898	229.897494	0.127874	29.922596	-0.002063	0.001418	0.000774	-0.000770	0.000199	-0.000285	0.000728	0.063937	-1.000000	0.000000	
13.020	229.925396	229.876964	29.930637	29.882206	199.994758	229.893108	0.048431	29.898350	-0.000764	-0.004747	-0.010257	-0.000070	-0.000040	-0.000055	0.000788	0.024216	-1.000000	0.000000	
14.008	229.862190	229.873808	30.089634	30.101252	199.772556	229.869935	-0.011618	30.097379	-0.001375	-0.028814	-0.059002	0.000665	-0.000018	0.000324	0.000515	-0.005809	-1.000000	0.000000	
15.008	229.598790	229.864339	30.246972	30.512521	199.351818	229.775823	-0.265549	30.424005	-0.001375	0.022816	0.044257	0.000070	0.000048	0.000059	0.000515	-0.132774	-1.000000	0.000000	
16.008	229.934998	229.936936	30.497172	30.499110	199.437826	229.936290	-0.001937	30.498464	-0.002292	0.000598	-0.001097	-0.000712	0.000217	-0.000247	0.000697	-0.000969	-1.000000	0.000000	
17.009	229.968218	229.952718	30.592841	30.577340	199.375377	229.957885	0.015500	30.582507	-0.001604	0.003253	0.004902	-0.000886	0.000176	-0.000355	0.000576	0.007750	-1.000000	0.000000	
18.021	229.930249	229.974813	30.512661	30.557224	199.417589	229.959958	-0.044563	30.542370	-0.000840	0.002807	0.004773	0.000292	-0.000000	0.000146	0.000303	-0.022282	-1.000000	0.000000	
19.021	229.850311	229.968500	30.468093	30.586281	199.382219	229.929104	-0.118189	30.546885	0.000306	0.002363	0.005031	0.000443	0.000005	0.000224	0.000121	-0.059094	-1.000000	0.000000	
20.010	229.929312	229.987438	30.505803	30.563930	199.423509	229.968063	-0.058126	30.544554	0.000153	0.002794	0.005741	-0.000222	0.000161	-0.000030	0.001091	-0.029063	-1.000000	0.000000	
21.010	230.054895	229.989016	30.620867	30.554989	199.434027	230.010976	0.065878	30.576948	-0.002216	0.004365	0.006515	-0.000630	0.000267	-0.000181	0.000576	0.032939	-1.000000	0.000000	
22.019	230.056816	230.031628	30.622645	30.597457	199.434171	230.040024	0.025189	30.605853	-0.002139	0.003972	0.005805	-0.000245	0.000161	-0.000042	-0.000212	0.012594	-1.000000	0.000000	
23.007	229.845419	229.998485	30.466742	30.619808	199.378677	229.947463	-0.153066	30.568786	-0.000763	0.003188	0.005612	0.000012	-0.000013	-0.000000	0.000455	-0.076533	-1.000000	0.000000	
24.008	229.885874	230.050566	30.479704	30.644395	199.406171	229.995669	-0.164691	30.589498	-0.000076	0.003102	0.006128	0.000432	-0.000015	0.000208	0.000819	-0.082346	-1.000000	0.000000	
25.008	230.146445	230.037940	30.764076	30.655571	199.382369	230.074109	0.108505	30.691739	-0.001222	0.004062	0.006902	-0.000455	0.000141	-0.000157	0.000424	0.054252	-1.000000	0.000000	
26.008	230.153680	230.074239	30.708190	30.628749	199.445490	230.100719	0.079441	30.655229	-0.001299	0.004229	0.007160	-0.000700	0.000219	-0.000240	0.000152	0.039721	-1.000000	0.000000	
27.008	230.107755	230.063191	30.686724	30.642160	199.421031	230.078046	0.044564	30.657015	-0.000306	0.003636	0.006966	-0.000362	0.000144	-0.000109	0.000364	0.022282	-1.000000	0.000000	
28.022	230.110052	230.061613	30.701775	30.653336	199.408277	230.077760	0.048439	30.669482	-0.000458	0.003325	0.006192	0.000280	0.000063	0.000172	-0.000515	0.024219	-1.000000	0.000000	
29.009	230.152895	230.052144	30.789849	30.689098	199.363046	230.085728	0.100751	30.722682	0.000153	0.002439	0.005031	0.000268	-0.000040	0.000114	-0.000061	0.050376	-1.000000	0.000000	
30.009	230.182946	230.107381	30.793721	30.718155	199.389225	230.132569	0.075566	30.743344	-0.001222	0.003965	0.006708	-0.000093	0.000091	-0.000001	-0.000061	0.037783	-1.000000	0.000000	
31.010	230.326751	230.131054	30.884795	30.689098	199.441955	230.196286	0.195697	30.754331	-0.001757	0.004265	0.006773	-0.000886	0.000267	-0.000310	-0.000637	0.097848	-1.000000	0.000000	
32.019	230.235262	230.107381	30.821450	30.693569	199.413812	230.150008	0.127881	30.736196	-0.001604	0.004285	0.006966	-0.000408	0.000186	-0.000111	0.000182	0.063941	-1.000000	0.000000	
33.007	230.139242	230.112115	30.794455	30.767329	199.344787	230.121157	0.027126	30.776371	-0.000917	0.003909	0.006902	0.000093	-0.000048	0.000023	-0.000152	0.013563	-1.000000	0.000000	
34.008	230.152508	230.138945	30.778657	30.765094	199.373851	230.143466	0.013563	30.769615	-0.000458	0.003680	0.006902	0.000222	0.000038	0.000130	0.000182	0.006781	-1.000000	0.000000	
35.012	230.259214	230.146836	30.848415	30.736037	199.410799	230.184295	0.112378	30.773496	-0.000000	0.003322	0.006644	-0.000350	0.000204	-0.000073	0.000485	0.056189	-1.000000	0.000000	
36.012	230.393257	230.187869	30.995068	30.789680	199.398188	230.256331	0.205388	30.858143	-0.001986	0.005025	0.008063	-0.000653	0.000227	-0.000213	0.000152	0.102694	-1.000000	0.000000	
37.012	230.272264	230.183134	30.892221	30.803091	199.380043	230.212844	0.089129	30.832801	-0.001604	0.004414	0.007224	-0.000047	0.000149	0.000051	-0.000030	0.044565	-1.000000	0.000000	
