Time(s)	s(a)_(kPa)	s(r)_(kPa)	s'(a)(kPa)	s'(r)(kPa)	Pore_(kPa)	p____(kPa)	q____(kPa)	p'___(kPa)	e(a)_(%)_	e(r)_(%)_	e(v)_(%)_	eLDT1(%)_	eLDT2(%)_	AvLDT(%)_	ClipGauge(%)	(s'a-s'r)/2	Nc	DA	
0.000	301.419639	300.923677	99.421000	98.925038	201.998639	301.088998	0.495962	99.090359	0.582889	0.785507	2.153902	0.002090	-0.001816	0.000137	0.001819	0.247981	-0.500000	5.289188	
0.999	301.369209	300.904739	99.338100	98.873629	202.031110	301.059562	0.464470	99.028453	0.582966	0.785271	2.153507	0.002558	-0.001983	0.000288	0.003699	0.232235	-0.500000	5.289188	
1.999	301.432496	300.863706	99.366424	98.797634	202.066072	301.053303	0.568790	98.987231	0.583196	0.786243	2.155682	0.002359	-0.001929	0.000215	0.004093	0.284395	-0.500000	5.289188	
3.000	301.645884	300.876332	99.433077	98.663525	202.212807	301.132849	0.769553	98.920042	0.581582	0.787083	2.155748	0.001308	-0.001747	-0.000220	0.002365	0.384776	-0.500000	5.289188	
4.009	301.558757	300.822673	99.299026	98.562942	202.259730	301.068034	0.736084	98.808304	0.582658	0.786380	2.155418	0.001810	-0.001804	0.000003	0.003790	0.368042	-0.500000	5.289188	
5.009	301.435412	300.772171	99.183715	98.520474	202.251696	300.993251	0.663241	98.741555	0.583273	0.784754	2.152782	0.002605	-0.001885	0.000360	0.004184	0.331620	-0.500000	5.289188	
6.002	301.572031	300.784796	99.198186	98.410952	202.373845	301.047208	0.787235	98.673363	0.581967	0.785078	2.152123	0.002009	-0.001907	0.000051	0.003123	0.393617	-0.500000	5.289188	
7.002	301.694005	300.761123	99.203018	98.270137	202.490987	301.072084	0.932882	98.581097	0.580737	0.785528	2.151793	0.001786	-0.001711	0.000038	0.002668	0.466441	0.000000	0.001921	
8.003	305.577508	300.759545	102.833291	98.015329	202.744216	302.365533	4.817963	99.621316	0.582581	0.785331	2.153243	0.001810	-0.001833	-0.000012	0.003335	2.408981	0.000000	0.002843	
9.012	310.230444	300.726403	107.195272	97.691231	203.035172	303.894417	9.504041	100.859245	0.584656	0.785216	2.155089	0.002768	-0.001953	0.000408	0.004881	4.752020	0.000000	0.002843	
10.014	315.604418	300.699574	112.104340	97.199496	203.500077	305.667855	14.904844	102.167778	0.584733	0.786001	2.156736	0.002090	-0.001846	0.000122	0.005124	7.452422	0.000000	0.002843	
11.015	320.608393	300.682214	116.700996	96.774816	203.907397	307.324273	19.926179	103.416876	0.589191	0.782554	2.154298	0.001822	-0.001718	0.000052	0.002638	9.963090	0.000000	0.003535	
12.015	324.720335	300.619086	120.493854	96.392604	204.226481	308.652836	24.101250	104.426354	0.592726	0.780358	2.153441	0.002453	-0.001875	0.000289	0.003486	12.050625	0.000000	0.009683	
13.000	328.683046	300.582787	124.168765	96.068507	204.514281	309.949540	28.100259	105.435260	0.596799	0.777167	2.151134	0.002441	-0.001970	0.000235	0.003759	14.050129	0.000000	0.011528	
14.009	332.804843	300.570162	127.905295	95.670614	204.899548	311.315055	32.234681	106.415507	0.599259	0.777256	2.153770	0.001693	-0.001713	-0.000010	0.001849	16.117341	0.000000	0.014756	
15.001	336.545123	300.559114	131.245353	95.259345	205.299770	312.554451	35.986009	107.254681	0.602564	0.775471	2.153507	0.001635	-0.001784	-0.000075	0.003638	17.993004	0.000000	0.019906	
16.002	340.296353	300.461266	134.725631	94.890544	205.570723	313.739629	39.835087	108.168906	0.607253	0.773226	2.153705	0.002687	-0.001941	0.000373	0.002001	19.917543	0.000000	0.024287	
17.002	339.517262	300.447063	133.721581	94.651382	205.795681	313.470462	39.070199	107.674781	0.614402	0.768861	2.152123	0.002172	-0.001995	0.000089	0.005791	19.535100	0.500000	0.024595	
18.002	334.341339	300.431281	128.749194	94.839135	205.592146	311.734634	33.910059	106.142488	0.612403	0.769728	2.151859	0.001436	-0.001757	-0.000161	0.006821	16.955029	0.500000	0.024595	
19.011	329.580236	300.443906	124.174393	95.038064	205.405842	310.156016	29.136329	104.750174	0.612172	0.768789	2.149750	0.001915	-0.001801	0.000057	0.002971	14.568165	0.500000	0.024595	
