Time(s)	s(a)_(kPa)	s(r)_(kPa)	s'(a)(kPa)	s'(r)(kPa)	Pore_(kPa)	p____(kPa)	q____(kPa)	p'___(kPa)	e(a)_(%)_	e(r)_(%)_	e(v)_(%)_	eLDT1(%)_	eLDT2(%)_	AvLDT(%)_	ClipGauge(%)	(s'a-s'r)/2	Nc	DA	
0.000	302.667898	302.209955	101.260636	100.802693	201.407263	302.362603	0.457943	100.955340	0.048145	0.503190	1.054525	-0.000467	0.000176	-0.000145	-0.000364	0.228972	-1.000000	0.000000	
1.012	302.808875	302.217846	101.387016	100.795987	201.421859	302.414856	0.591029	100.992997	0.048374	0.503858	1.056090	-0.000618	0.000232	-0.000193	-0.001091	0.295514	-1.000000	0.000000	
2.016	302.731602	302.197330	101.332495	100.798222	201.399107	302.375420	0.534272	100.976313	0.048909	0.503688	1.056285	-0.000385	0.000136	-0.000124	0.000424	0.267136	-1.000000	0.000000	
3.017	302.557919	302.162609	101.251646	100.856336	201.306273	302.294379	0.395309	100.988106	0.050515	0.502038	1.054590	0.000152	-0.000035	0.000058	0.001061	0.197655	-1.000000	0.000000	
4.027	302.547699	302.205221	101.203285	100.860807	201.344414	302.319380	0.342478	100.974966	0.050132	0.503076	1.056285	0.000455	-0.000045	0.000205	-0.000424	0.171239	-1.000000	0.000000	
5.028	302.598461	302.189439	101.238537	100.829515	201.359924	302.325780	0.409023	100.965855	0.049292	0.503823	1.056937	-0.000397	0.000108	-0.000144	0.001031	0.204511	-1.000000	0.000000	
6.033	302.793046	302.243097	101.401815	100.851866	201.391231	302.426413	0.549949	101.035182	0.048298	0.505493	1.059284	-0.000677	0.000181	-0.000248	0.000515	0.274974	-1.000000	0.000000	
7.034	302.732681	302.233628	101.321862	100.822809	201.410819	302.399979	0.499053	100.989160	0.049062	0.504426	1.057915	-0.000688	0.000111	-0.000289	0.000758	0.249527	-1.000000	0.000000	
8.034	302.493416	302.219424	101.130328	100.856336	201.363088	302.310755	0.273992	100.947667	0.049215	0.504774	1.058762	0.000210	0.000008	0.000109	0.000728	0.136996	-1.000000	0.000000	
9.034	302.477134	302.189439	101.155208	100.867512	201.321926	302.285337	0.287696	100.963411	0.048909	0.505513	1.059936	0.000257	-0.000065	0.000096	0.000667	0.143848	-1.000000	0.000000	
10.035	302.664322	302.249410	101.273483	100.858572	201.390838	302.387714	0.414912	100.996875	0.049139	0.505953	1.061044	-0.000560	0.000048	-0.000256	0.000061	0.207456	-1.000000	0.000000	
11.035	302.780871	302.285708	101.353734	100.858572	201.427137	302.450763	0.495163	101.023626	0.048757	0.506828	1.062413	-0.000455	0.000227	-0.000114	-0.000212	0.247581	-1.000000	0.000000	
12.051	302.641784	302.269927	101.210312	100.838455	201.431471	302.393879	0.371857	100.962407	0.049521	0.506250	1.062022	-0.000047	0.000081	0.000017	-0.000788	0.185929	-1.000000	0.000000	
13.051	302.606743	302.244675	101.128998	100.766930	201.477745	302.365365	0.362068	100.887619	0.049980	0.505793	1.061565	0.000338	-0.000020	0.000159	-0.000273	0.181034	-1.000000	0.000000	
14.052	302.737051	302.239941	101.163458	100.666348	201.573593	302.405644	0.497110	100.832051	0.049980	0.505858	1.061696	0.000210	-0.000063	0.000074	0.000182	0.248555	-1.000000	0.000000	
15.049	302.869072	302.252566	101.168861	100.552355	201.700211	302.458068	0.616506	100.757857	0.049750	0.506755	1.063260	-0.000268	0.000149	-0.000060	-0.001607	0.308253	-1.000000	0.000000	
16.049	303.006884	302.306225	101.147961	100.447303	201.858922	302.539778	0.700659	100.680855	0.049980	0.506380	1.062739	-0.000828	0.000186	-0.000321	-0.001122	0.350329	-1.000000	0.000000	
17.049	302.968696	302.277817	100.997244	100.306365	201.971452	302.508110	0.690879	100.536658	0.048604	0.506807	1.062217	-0.000093	0.000030	-0.000032	-0.000212	0.345439	-1.000000	0.000000	
18.050	302.878966	302.268348	100.865575	100.254957	202.013392	302.471888	0.610618	100.458496	0.050362	0.505406	1.061174	0.000630	-0.000043	0.000294	0.000273	0.305309	-1.000000	0.000000	
19.052	302.953158	302.244675	100.849446	100.140964	202.103712	302.480836	0.708482	100.377124	0.049062	0.506023	1.061109	-0.000035	-0.000030	-0.000033	0.000212	0.354241	-1.000000	0.000000	
20.053	303.217876	302.258879	100.977027	100.018030	202.240849	302.578545	0.958997	100.337696	0.049674	0.506109	1.061891	-0.000513	0.000131	-0.000191	0.000424	0.479498	-1.000000	0.000000	
