Time(s)	s(a)_(kPa)	s(r)_(kPa)	s'(a)(kPa)	s'(r)(kPa)	Pore_(kPa)	p____(kPa)	q____(kPa)	p'___(kPa)	e(a)_(%)_	e(r)_(%)_	e(v)_(%)_	eLDT1(%)_	eLDT2(%)_	AvLDT(%)_	ClipGauge(%)	(s'a-s'r)/2	Nc	DA	
0.000	307.219523	306.647863	6.468042	5.896381	300.751482	306.838416	0.571661	6.086934	0.654846	-0.327326	0.000194	0.001716	-0.001437	0.000139	0.004487	0.285830	-0.500000	5.289188	
1.009	307.206655	306.688896	6.409670	5.891910	300.796985	306.861482	0.517759	6.064497	0.655384	-0.328079	-0.000774	0.002114	-0.001553	0.000280	0.004214	0.258880	-0.500000	5.289188	
2.009	307.290887	306.717303	6.485610	5.912027	300.805276	306.908498	0.573584	6.103221	0.655153	-0.327512	0.000129	0.001588	-0.001437	0.000075	0.003183	0.286792	-0.500000	5.289188	
3.007	307.469593	306.736241	6.638673	5.905321	300.830920	306.980692	0.733352	6.149772	0.654154	-0.326722	0.000710	0.000980	-0.001297	-0.000158	0.003486	0.366676	-0.500000	5.289188	
4.007	307.320574	306.687317	6.543048	5.909792	300.777526	306.898403	0.633256	6.120877	0.654769	-0.327126	0.000516	0.001518	-0.001420	0.000049	0.004487	0.316628	-0.500000	5.289188	
5.010	307.273368	306.709412	6.511745	5.947789	300.761623	306.897397	0.563956	6.135775	0.656461	-0.327843	0.000774	0.002242	-0.001487	0.000378	0.003305	0.281978	-0.500000	5.289188	
6.011	307.357263	306.739398	6.491894	5.874029	300.865369	306.945353	0.617865	6.079984	0.654384	-0.326547	0.001290	0.001903	-0.001393	0.000255	0.003638	0.308933	-0.500000	5.289188	
7.011	315.435022	306.696787	55.109514	46.371279	260.325508	309.609532	8.738235	49.284024	0.654846	-0.285576	0.083694	0.001366	-0.001255	0.000056	0.004548	4.369118	-0.500000	5.289188	
8.011	319.353538	306.677848	107.910447	95.234758	211.443090	310.903078	12.675689	99.459988	0.650616	0.011066	0.672748	0.001833	-0.001383	0.000225	0.004578	6.337845	-0.500000	5.289188	
9.012	318.813870	306.692052	115.421181	103.299364	203.392688	310.732658	12.121818	107.339970	0.647848	0.204742	1.057331	0.002032	-0.001509	0.000262	0.006336	6.060909	-0.500000	5.289188	
10.007	317.636531	306.692052	114.887568	103.943089	202.748963	310.340212	10.944479	107.591249	0.646310	0.265224	1.176758	0.001202	-0.001391	-0.000094	0.004729	5.472239	-0.500000	5.289188	
11.013	316.560396	306.712568	114.139601	104.291774	202.420795	309.995178	9.847827	107.574383	0.642004	0.284904	1.211811	0.000724	-0.001331	-0.000304	0.005730	4.923914	-0.500000	5.289188	
12.013	315.286423	306.707834	113.156463	104.577874	202.129960	309.567364	8.578589	107.437404	0.639851	0.291793	1.223436	0.001576	-0.001455	0.000061	0.004760	4.289294	-0.500000	5.289188	
13.013	314.162673	306.690474	112.213239	104.741040	201.949433	309.181207	7.472199	107.231773	0.638851	0.295198	1.229247	0.001997	-0.001568	0.000214	0.006761	3.736100	-0.500000	5.289188	
14.023	313.388126	306.737820	111.525456	104.875150	201.862670	308.954588	6.650306	107.091919	0.634930	0.299281	1.233492	0.001354	-0.001334	0.000010	0.006336	3.325153	-0.500000	5.289188	
15.024	312.449906	306.775696	110.616414	104.942205	201.833492	308.667099	5.674210	106.833608	0.630932	0.303174	1.237279	0.000770	-0.001324	-0.000277	0.004972	2.837105	-0.500000	5.289188	
16.024	311.283111	306.756758	109.589291	105.062938	201.693820	308.265542	4.526353	106.571722	0.628702	0.305693	1.240087	0.001833	-0.001494	0.000170	0.005305	2.263177	-0.500000	5.289188	
17.024	310.284787	306.750445	108.648688	105.114347	201.636099	307.928559	3.534342	106.292461	0.626702	0.308325	1.243353	0.002242	-0.001516	0.000363	0.004184	1.767171	-0.500000	5.289188	
18.025	309.630526	306.789900	107.975089	105.134463	201.655437	307.736775	2.840626	106.081338	0.622935	0.313148	1.249230	0.001191	-0.001319	-0.000064	0.005215	1.420313	-0.500000	5.289188	
19.025	308.867650	306.767805	107.265600	105.165755	201.602050	307.467753	2.099844	105.865703	0.619783	0.316030	1.251843	0.001249	-0.001329	-0.000040	0.003820	1.049922	-0.500000	5.289188	
20.037	308.080788	306.830933	106.502781	105.252926	201.578007	307.247551	1.249855	105.669545	0.617400	0.319638	1.256676	0.002079	-0.001501	0.000289	0.004881	0.624927	-0.500000	5.289188	
21.038	307.708491	306.805682	106.180323	105.277513	201.528169	307.106618	0.902809	105.578450	0.616477	0.321210	1.258897	0.001892	-0.001536	0.000178	0.006973	0.451405	-0.500000	5.289188	
22.038	307.777052	306.829355	106.229680	105.281983	201.547371	307.145254	0.947697	105.597882	0.615247	0.323295	1.261836	0.000805	-0.001307	-0.000251	0.005093	0.473848	-0.500000	5.289188	
23.043	308.142638	306.841980	106.562525	105.261867	201.580113	307.275533	1.300658	105.695420	0.614709	0.323760	1.262228	0.001284	-0.001307	-0.000011	0.004487	0.650329	-0.500000	5.289188	
24.043	307.391991	306.816729	105.928771	105.353508	201.463221	307.008483	0.575262	105.545262	0.613940	0.324503	1.262947	0.002055	-0.001499	0.000278	0.004578	0.287631	-0.500000	5.289188	
25.043	307.956760	306.853028	106.479592	105.375860	201.477168	307.220939	1.103732	105.743771	0.613633	0.324918	1.263469	0.001985	-0.001479	0.000253	0.004699	0.551866	-0.500000	5.289188	
26.044	307.995253	306.905108	106.430243	105.340098	201.565011	307.268490	1.090145	105.703479	0.612019	0.327816	1.267650	0.001109	-0.001265	-0.000078	0.002365	0.545073	-0.500000	5.289188	
27.044	308.360774	306.876701	106.853228	105.369155	201.507546	307.371392	1.484074	105.863846	0.612557	0.327416	1.267389	0.001424	-0.001361	0.000032	0.002365	0.742037	-0.500000	5.289188	
28.044	307.602837	306.865653	106.157746	105.420563	201.445090	307.111381	0.737183	105.666291	0.611480	0.329097	1.269675	0.002020	-0.001509	0.000256	0.003790	0.368592	-0.500000	5.289188	
29.046	307.904577	306.851450	106.475925	105.422798	201.428651	307.202492	1.053127	105.773841	0.611557	0.329483	1.270524	0.001857	-0.001521	0.000168	0.006367	0.526563	-0.500000	5.289188	
30.038	307.735094	306.900374	106.241873	105.407152	201.493221	307.178614	0.834721	105.685393	0.610712	0.330690	1.272092	0.001121	-0.001312	-0.000095	0.004153	0.417360	-0.500000	5.289188	
31.039	307.977949	306.920890	106.477622	105.420563	201.500327	307.273243	1.057059	105.772916	0.610174	0.330959	1.272092	0.001576	-0.001400	0.000088	0.004851	0.528529	-0.500000	5.289188	
32.045	307.206389	306.884592	105.798239	105.476442	201.408150	306.991857	0.321797	105.583708	0.611557	0.330757	1.273072	0.002231	-0.001504	0.000363	0.005972	0.160899	-0.500000	5.289188	
33.046	307.623512	306.860919	106.183157	105.420563	201.440356	307.115117	0.762594	105.674761	0.609559	0.332867	1.275293	0.001518	-0.001371	0.000073	0.005336	0.381297	-0.500000	5.289188	
34.046	307.993343	306.897217	106.501043	105.404917	201.492300	307.262592	1.096125	105.770292	0.609251	0.333739	1.276730	0.000782	-0.001307	-0.000262	0.003456	0.548063	-0.500000	5.289188	
35.046	307.260542	306.911421	105.814388	105.465266	201.446155	307.027795	0.349121	105.581640	0.610327	0.333691	1.277710	0.001786	-0.001425	0.000181	0.003850	0.174561	-0.500000	5.289188	
36.047	307.388257	306.890904	105.998381	105.501029	201.389876	307.056689	0.497352	105.666813	0.609943	0.333720	1.277384	0.001588	-0.001531	0.000028	0.004123	0.248676	-0.500000	5.289188	
37.047	307.771759	306.927203	106.280766	105.436209	201.490994	307.208722	0.844556	105.717728	0.608636	0.335680	1.279997	0.001284	-0.001395	-0.000056	0.003820	0.422278	-0.500000	5.289188	
38.047	307.898363	306.911421	106.427622	105.440680	201.470741	307.240402	0.986942	105.769660	0.609328	0.335726	1.280781	0.001086	-0.001321	-0.000118	0.003365	0.493471	-0.500000	5.289188	
39.048	307.381778	306.901952	105.987560	105.507734	201.394217	307.061894	0.479826	105.667676	0.608406	0.336579	1.281565	0.001751	-0.001452	0.000150	0.004153	0.239913	-0.500000	5.289188	
40.053	307.345829	306.897217	105.945170	105.496559	201.400659	307.046754	0.448612	105.646096	0.609943	0.335909	1.281761	0.001798	-0.001570	0.000114	0.006094	0.224306	-0.500000	5.289188	
41.053	307.733535	306.924047	106.290401	105.480912	201.443134	307.193876	0.809488	105.750742	0.607330	0.338163	1.283655	0.001378	-0.001346	0.000016	0.003153	0.404744	-0.500000	5.289188	
42.054	307.911964	306.936672	106.449499	105.474207	201.462465	307.261769	0.975292	105.799304	0.607483	0.338413	1.284309	0.000922	-0.001307	-0.000192	0.004123	0.487646	-0.500000	5.289188	
43.054	307.166944	306.911421	105.772198	105.516675	201.394746	306.996595	0.255523	105.601849	0.608329	0.337827	1.283982	0.001973	-0.001462	0.000256	0.005184	0.127762	-0.500000	5.289188	
44.054	307.260498	306.870388	105.886669	105.496559	201.373829	307.000425	0.390110	105.626595	0.608867	0.337590	1.284047	0.001973	-0.001536	0.000219	0.006670	0.195055	-0.500000	5.289188	
45.055	307.588108	306.895639	106.175616	105.483148	201.412491	307.126462	0.692469	105.713971	0.607944	0.339260	1.286465	0.000992	-0.001309	-0.000158	0.005002	0.346234	-0.500000	5.289188	
46.055	307.761511	306.946141	106.309693	105.494323	201.451818	307.217931	0.815370	105.766113	0.607637	0.340002	1.287641	0.001249	-0.001356	-0.000053	0.003971	0.407685	-0.500000	5.289188	
47.055	307.679021	306.931938	106.268229	105.521145	201.410792	307.180965	0.747084	105.770173	0.609098	0.339108	1.287314	0.001997	-0.001504	0.000246	0.006336	0.373542	-0.500000	5.289188	
48.056	307.782360	306.890904	106.452834	105.561378	201.329526	307.188056	0.891456	105.858530	0.608021	0.340594	1.289209	0.001670	-0.001465	0.000103	0.005851	0.445728	-0.500000	5.289188	
49.056	307.970826	306.927203	106.562533	105.518910	201.408293	307.275077	1.043623	105.866784	0.607483	0.341320	1.290124	0.001378	-0.001282	0.000048	0.005033	0.521811	-0.500000	5.289188	
50.054	307.414134	306.930359	105.980333	105.496559	201.433801	307.091618	0.483775	105.657817	0.607176	0.341507	1.290189	0.001226	-0.001391	-0.000082	0.005518	0.241887	-0.500000	5.289188	
51.054	307.355829	306.879857	105.992647	105.516675	201.363182	307.038514	0.475972	105.675332	0.608021	0.341476	1.290973	0.001938	-0.001472	0.000233	0.006245	0.237986	-0.500000	5.289188	
52.056	307.458679	306.865653	106.120876	105.527851	201.337803	307.063329	0.593026	105.725526	0.608098	0.342483	1.293064	0.002009	-0.001432	0.000288	0.002577	0.296513	-0.500000	5.289188	
53.056	307.809504	306.941407	106.346774	105.478677	201.462729	307.230772	0.868097	105.768043	0.607022	0.343446	1.293913	0.001156	-0.001289	-0.000067	0.005760	0.434049	-0.500000	5.289188	
54.057	307.814330	306.954032	106.376973	105.516675	201.437357	307.240798	0.860298	105.803441	0.606715	0.343665	1.294044	0.001471	-0.001344	0.000064	0.004578	0.430149	-0.500000	5.289188	
55.057	307.068252	306.875123	105.814856	105.621727	201.253395	306.939499	0.193129	105.686104	0.607637	0.343922	1.295481	0.002301	-0.001526	0.000387	0.004760	0.096565	-0.500000	5.289188	
56.057	307.259410	306.908265	105.887937	105.536791	201.371473	307.025313	0.351146	105.653840	0.607253	0.344212	1.295677	0.001611	-0.001386	0.000113	0.003426	0.175573	-0.500000	5.289188	
57.058	307.469541	306.927203	106.052308	105.509970	201.417233	307.107982	0.542338	105.690749	0.606945	0.345412	1.297768	0.001144	-0.001284	-0.000070	0.003032	0.271169	-0.500000	5.289188	
58.058	307.502427	306.936672	106.115957	105.550202	201.386470	307.125257	0.565754	105.738787	0.607176	0.345950	1.299075	0.001950	-0.001432	0.000259	0.003941	0.282877	-0.500000	5.289188	
59.058	307.425908	306.897217	106.063247	105.534556	201.362661	307.073448	0.528691	105.710787	0.606253	0.346248	1.298749	0.002114	-0.001531	0.000291	0.003638	0.264345	-0.500000	5.289188	
60.055	307.663558	306.898795	106.281438	105.516675	201.382120	307.153716	0.764763	105.771596	0.606177	0.347168	1.300513	0.001261	-0.001354	-0.000046	0.003517	0.382381	-0.500000	5.289188	
61.055	307.836409	306.968236	106.384848	105.516675	201.451561	307.257627	0.868173	105.806066	0.606945	0.347797	1.302539	0.001144	-0.001292	-0.000074	0.002425	0.434086	-0.500000	5.289188	
62.059	307.726816	306.903530	106.384664	105.561378	201.342152	307.177959	0.823286	105.835807	0.607714	0.346922	1.301558	0.001915	-0.001445	0.000235	0.005124	0.411643	-0.500000	5.289188	
63.059	307.490894	306.845137	106.236192	105.590435	201.254702	307.060389	0.645757	105.805688	0.607253	0.347251	1.301754	0.001938	-0.001546	0.000196	0.006185	0.322879	-0.500000	5.289188	
64.060	307.834522	306.901952	106.467126	105.534556	201.367396	307.212808	0.932570	105.845413	0.606330	0.348660	1.303649	0.001448	-0.001368	0.000040	0.004729	0.466285	-0.500000	5.289188	
65.061	307.211988	306.886170	105.864845	105.539027	201.347143	306.994776	0.325818	105.647633	0.605946	0.349277	1.304499	0.001366	-0.001363	0.000001	0.004123	0.162909	-0.500000	5.289188	
66.061	307.150496	306.865653	105.843986	105.559143	201.306510	306.960601	0.284843	105.654091	0.606407	0.348556	1.303519	0.001810	-0.001499	0.000155	0.004457	0.142421	-0.500000	5.289188	
67.061	307.162404	306.848293	105.904546	105.590435	201.257858	306.952997	0.314110	105.695139	0.605638	0.349005	1.303649	0.001763	-0.001497	0.000133	0.005154	0.157055	-0.500000	5.289188	
68.062	307.489871	306.890904	106.175991	105.577024	201.313880	307.090560	0.598966	105.776680	0.605946	0.349865	1.305675	0.001448	-0.001302	0.000073	0.004214	0.299483	-0.500000	5.289188	
69.062	307.533171	306.889326	106.207458	105.563613	201.325713	307.103941	0.643844	105.778228	0.606100	0.350213	1.306525	0.001109	-0.001366	-0.000128	0.004729	0.321922	-0.500000	5.289188	
70.057	307.413513	306.867232	106.143422	105.597141	201.270091	307.049325	0.546282	105.779234	0.607483	0.349227	1.305937	0.001915	-0.001511	0.000202	0.004790	0.273141	-0.500000	5.289188	
71.058	307.512572	306.860919	106.230913	105.579259	201.281659	307.078137	0.651653	105.796477	0.606407	0.350582	1.307570	0.001529	-0.001415	0.000057	0.005487	0.325827	-0.500000	5.289188	
72.063	307.728389	306.897217	106.394785	105.563613	201.333604	307.174275	0.831172	105.840671	0.605100	0.351856	1.308812	0.001167	-0.001336	-0.000084	0.003001	0.415586	-0.500000	5.289188	
73.063	307.583029	306.950876	106.184591	105.552438	201.398438	307.161594	0.632154	105.763155	0.605562	0.351429	1.308420	0.001378	-0.001465	-0.000043	0.003971	0.316077	-0.500000	5.289188	
74.060	307.633344	306.878279	106.343265	105.588200	201.290079	307.129967	0.755065	105.839888	0.607483	0.350926	1.309335	0.002324	-0.001573	0.000376	0.004669	0.377532	-0.500000	5.289188	
75.061	307.700349	306.867232	106.430258	105.597141	201.270091	307.144937	0.833118	105.874847	0.607176	0.351537	1.310250	0.001576	-0.001452	0.000062	0.005184	0.416559	-0.500000	5.289188	
76.061	307.870747	306.889326	106.538328	105.556908	201.332418	307.216466	0.981421	105.884048	0.605715	0.352529	1.310773	0.000922	-0.001321	-0.000200	0.004335	0.490710	-0.500000	5.289188	
77.064	307.158872	306.879857	105.813571	105.534556	201.345301	306.972862	0.279015	105.627561	0.605177	0.352961	1.311099	0.001308	-0.001354	-0.000023	0.004032	0.139507	-0.500000	5.289188	
78.064	307.158754	306.905108	105.853021	105.599376	201.305732	306.989657	0.253646	105.683924	0.606253	0.352162	1.310576	0.001938	-0.001538	0.000200	0.003486	0.126823	-0.500000	5.289188	
79.064	307.302492	306.916156	105.999123	105.612787	201.303369	307.044934	0.386337	105.741566	0.605331	0.354093	1.313517	0.001716	-0.001432	0.000142	0.003395	0.193168	-0.500000	5.289188	
80.054	307.490768	306.895639	106.174388	105.579259	201.316380	307.094015	0.595129	105.777636	0.604332	0.355312	1.314955	0.000934	-0.001284	-0.000175	0.006458	0.297565	-0.500000	5.289188	
81.055	307.386683	306.906686	106.045845	105.565848	201.340838	307.066685	0.479996	105.725847	0.605485	0.354310	1.314105	0.001600	-0.001442	0.000079	0.006397	0.239998	-0.500000	5.289188	
82.064	307.281520	306.889326	105.987099	105.594905	201.294421	307.020058	0.392194	105.725637	0.605408	0.354545	1.314498	0.002032	-0.001580	0.000226	0.006700	0.196097	-0.500000	5.289188	
83.066	307.494033	306.873544	106.210923	105.590435	201.283109	307.080374	0.620488	105.797265	0.605792	0.354745	1.315282	0.001494	-0.001428	0.000033	0.003941	0.310244	-0.500000	5.289188	
84.067	307.660053	306.922468	106.287787	105.550202	201.372266	307.168330	0.737585	105.796064	0.604486	0.356313	1.317112	0.000980	-0.001274	-0.000147	0.005578	0.368792	-0.500000	5.289188	
85.067	307.602460	306.901952	106.313295	105.612787	201.289165	307.135455	0.700508	105.846290	0.605024	0.356175	1.317373	0.001670	-0.001447	0.000111	0.005851	0.350254	-0.500000	5.289188	
86.067	307.482253	306.865653	106.242798	105.626198	201.239456	307.071187	0.616600	105.831731	0.605638	0.355900	1.317439	0.001681	-0.001573	0.000054	0.006427	0.308300	-0.500000	5.289188	
87.068	307.734392	306.938250	106.391047	105.594905	201.343345	307.203631	0.796142	105.860286	0.604409	0.357495	1.319399	0.001249	-0.001354	-0.000052	0.006124	0.398071	-0.500000	5.289188	
88.068	307.824728	306.919312	106.473500	105.568084	201.351228	307.221117	0.905416	105.869889	0.605254	0.357497	1.320249	0.001051	-0.001324	-0.000137	0.004669	0.452708	-0.500000	5.289188	
89.068	307.683113	306.924047	106.383029	105.623963	201.300084	307.177069	0.759066	105.876985	0.605100	0.357476	1.320053	0.001973	-0.001506	0.000234	0.003395	0.379533	-0.500000	5.289188	
90.054	307.744321	306.954032	106.409781	105.619492	201.334540	307.217462	0.790288	105.882922	0.605638	0.357534	1.320706	0.001775	-0.001455	0.000160	0.003850	0.395144	-0.500000	5.289188	
91.054	307.912071	306.946141	106.589892	105.623963	201.322179	307.268118	0.965930	105.945939	0.604793	0.358643	1.322079	0.000817	-0.001321	-0.000252	0.003668	0.482965	-0.500000	5.289188	
92.070	307.880774	306.938250	106.524018	105.581495	201.356756	307.252425	0.942524	105.895669	0.605408	0.359218	1.323844	0.001202	-0.001373	-0.000085	0.003153	0.471262	-0.500000	5.289188	
93.071	307.233339	306.977705	105.906419	105.650784	201.326921	307.062917	0.255634	105.735996	0.605562	0.359500	1.324563	0.001693	-0.001516	0.000088	0.004184	0.127817	-0.500000	5.289188	
94.071	307.109347	306.916156	105.835035	105.641844	201.274312	306.980553	0.193191	105.706241	0.604793	0.359950	1.324693	0.001494	-0.001526	-0.000016	0.004396	0.096595	-0.500000	5.289188	
95.071	307.382235	306.958767	106.038490	105.615022	201.343745	307.099923	0.423468	105.756178	0.604332	0.361030	1.326393	0.001179	-0.001346	-0.000084	0.005033	0.211734	-0.500000	5.289188	
96.072	307.458878	306.972971	106.067402	105.581495	201.391476	307.134940	0.485908	105.743464	0.605024	0.360260	1.325543	0.001389	-0.001386	0.000002	0.004760	0.242954	-0.500000	5.289188	
97.072	307.312931	306.938250	106.025465	105.650784	201.287466	307.063144	0.374680	105.775678	0.604332	0.360867	1.326066	0.002044	-0.001561	0.000242	0.003062	0.187340	-0.500000	5.289188	
98.072	307.348901	306.942985	106.052231	105.646314	201.296671	307.078290	0.405916	105.781620	0.604178	0.362447	1.329073	0.001658	-0.001469	0.000094	0.004123	0.202958	-0.500000	5.289188	
99.073	307.552001	306.991909	106.208641	105.648549	201.343360	307.178606	0.560092	105.835247	0.603717	0.362939	1.329596	0.001179	-0.001331	-0.000076	0.004244	0.280046	-0.500000	5.289188	
100.070	307.494226	306.955610	106.200575	105.661960	201.293650	307.135149	0.538615	105.841499	0.603947	0.362007	1.327961	0.001565	-0.001482	0.000041	0.002456	0.269308	-0.500000	5.289188	
101.074	307.408849	306.928781	106.144263	105.664195	201.264586	307.088804	0.480067	105.824218	0.605331	0.361740	1.328811	0.002067	-0.001600	0.000234	0.005791	0.240034	-0.500000	5.289188	
102.074	307.577074	307.001378	106.199658	105.623963	201.377416	307.193277	0.575696	105.815861	0.605254	0.362171	1.329596	0.001389	-0.001423	-0.000017	0.003911	0.287848	-0.500000	5.289188	
103.074	307.704238	306.991909	106.365349	105.653020	201.338889	307.229352	0.712329	105.890463	0.602871	0.364146	1.331164	0.000805	-0.001339	-0.000267	0.005093	0.356165	-0.500000	5.289188	
104.074	307.572773	306.961923	106.301867	105.691017	201.270906	307.165540	0.610849	105.894634	0.604486	0.364353	1.333191	0.001973	-0.001440	0.000267	0.003971	0.305425	-0.500000	5.289188	
105.075	307.538215	306.942985	106.292953	105.697723	201.245262	307.141395	0.595230	105.896133	0.605869	0.363824	1.333517	0.001962	-0.001639	0.000161	0.005063	0.297615	-0.500000	5.289188	
106.075	307.742289	306.971392	106.459679	105.688782	201.282610	307.228358	0.770897	105.945748	0.604486	0.365431	1.335348	0.001121	-0.001408	-0.000144	0.005336	0.385448	-0.500000	5.289188	
107.075	307.865729	306.977705	106.547749	105.659725	201.317980	307.273713	0.888023	105.955733	0.603333	0.367021	1.337374	0.001004	-0.001270	-0.000133	0.004517	0.444012	-0.500000	5.289188	
108.076	307.688058	306.936672	106.440168	105.688782	201.247890	307.187134	0.751386	105.939244	0.605331	0.365760	1.336851	0.001845	-0.001529	0.000158	0.005124	0.375693	-0.500000	5.289188	
109.076	307.623457	306.954032	106.371618	105.702193	201.251839	307.177174	0.669425	105.925335	0.604793	0.366421	1.337636	0.002044	-0.001553	0.000245	0.003941	0.334713	-0.500000	5.289188	
110.070	307.873247	306.987174	106.552503	105.666431	201.320744	307.282532	0.886073	105.961788	0.605100	0.367085	1.339270	0.001097	-0.001349	-0.000126	0.005548	0.443036	-0.500000	5.289188	
111.071	307.942410	306.991909	106.616931	105.666431	201.325478	307.308742	0.950501	105.983264	0.603871	0.368223	1.340316	0.001086	-0.001321	-0.000118	0.004032	0.475250	-0.500000	5.289188	
112.077	306.998969	306.995065	105.699391	105.695488	201.299578	306.996366	0.003904	105.696789	0.604793	0.368382	1.341558	0.001635	-0.001494	0.000070	0.004123	0.001952	-0.500000	5.289188	
113.077	307.015704	306.990331	105.743212	105.717839	201.272492	306.998788	0.025373	105.726297	0.604870	0.368377	1.341623	0.001915	-0.001497	0.000209	0.002941	0.012686	-0.500000	5.289188	
114.077	307.198677	307.017160	105.845712	105.664195	201.352965	307.077666	0.181517	105.724701	0.604332	0.369430	1.343192	0.001378	-0.001349	0.000015	0.003699	0.090758	-0.500000	5.289188	
115.078	307.280284	307.018738	105.959268	105.697723	201.321015	307.105920	0.261546	105.784905	0.602871	0.370455	1.343780	0.001296	-0.001356	-0.000030	0.004972	0.130773	-0.500000	5.289188	
116.078	307.141657	306.977705	105.913083	105.749131	201.228574	307.032356	0.163951	105.803782	0.603794	0.369666	1.343127	0.002090	-0.001563	0.000264	0.004517	0.081976	-0.500000	5.289188	
117.078	307.161511	307.009269	105.921489	105.769248	201.240021	307.060016	0.152242	105.819995	0.605408	0.370003	1.345415	0.002196	-0.001524	0.000336	0.004184	0.076121	-0.500000	5.289188	
118.079	307.417791	306.990331	106.143065	105.715604	201.274727	307.132818	0.427461	105.858091	0.603563	0.371514	1.346592	0.001086	-0.001351	-0.000133	0.002910	0.213730	-0.500000	5.289188	
119.079	307.483281	307.018738	106.168971	105.704428	201.314310	307.173586	0.464543	105.859276	0.604101	0.371114	1.346330	0.001471	-0.001400	0.000035	0.004032	0.232271	-0.500000	5.289188	
120.070	307.348518	307.010847	106.068921	105.731250	201.279597	307.123404	0.337671	105.843807	0.604486	0.370988	1.346461	0.001880	-0.001600	0.000140	0.005305	0.168835	-0.500000	5.289188	
121.070	307.343832	306.972971	106.115523	105.744661	201.228310	307.096591	0.370862	105.868282	0.603563	0.372233	1.348030	0.001541	-0.001531	0.000005	0.005336	0.185431	-0.500000	5.289188	
122.079	307.412165	307.047146	106.062742	105.697723	201.349423	307.168819	0.365019	105.819396	0.602410	0.374085	1.350579	0.001121	-0.001321	-0.000100	0.003971	0.182510	-0.500000	5.289188	
123.079	307.637890	307.017160	106.280455	105.659725	201.357435	307.224070	0.620730	105.866635	0.603333	0.374245	1.351822	0.001378	-0.001455	-0.000039	0.003820	0.310365	-0.500000	5.289188	
124.080	307.439611	307.021895	106.186964	105.769248	201.252647	307.161133	0.417716	105.908487	0.605254	0.373316	1.351887	0.002266	-0.001566	0.000350	0.004426	0.208858	-0.500000	5.289188	
125.080	307.528199	307.018738	106.245182	105.735720	201.283018	307.188559	0.509461	105.905541	0.604024	0.373637	1.351299	0.001389	-0.001477	-0.000044	0.004457	0.254731	-0.500000	5.289188	
