Time(s),s(a)_(kPa),s(r)_(kPa),s'(a)(kPa),s'(r)(kPa),Pore_(kPa),p____(kPa),q____(kPa),p'___(kPa),e(a)_(%)_,e(r)_(%)_,e(v)_(%)_,eLDT1(%)_,eLDT2(%)_,AvLDT(%)_,ClipGauge(%),(s'a-s'r)/2,Nc,DA,Time(s)_total,Vs_rise(m/s)
0.0,229.768582,229.731771,29.889961,29.853149,199.878621,229.744041,0.036812,29.86542,-0.001452,0.000565,-0.000323,-0.000268,0.000149,-6e-05,0.000849,0.018406,-1.0,0.0,1621494104.0,239.6847319956034
8.02,229.906886,229.881699,29.889512,29.864325,200.017374,229.890095,0.025187,29.872721,-0.00084,0.001162,0.001484,0.000152,7e-05,0.000111,-0.000424,0.012594,-1.0,0.0,1621494112.02,279.5746057594823
16.008,229.934998,229.936936,30.497172,30.49911,199.437826,229.93629,-0.001937,30.498464,-0.002292,0.000598,-0.001097,-0.000712,0.000217,-0.000247,0.000697,-0.000969,-1.0,0.0,1621494120.008,281.15154096588486
24.008,229.885874,230.050566,30.479704,30.644395,199.406171,229.995669,-0.164691,30.589498,-7.6e-05,0.003102,0.006128,0.000432,-1.5e-05,0.000208,0.000819,-0.082346,-1.0,0.0,1621494128.008,278.79263029236034
32.019,230.235262,230.107381,30.82145,30.693569,199.413812,230.150008,0.127881,30.736196,-0.001604,0.004285,0.006966,-0.000408,0.000186,-0.000111,0.000182,0.063941,-1.0,0.0,1621494136.019,281.5455920114158
40.013,230.278498,230.206807,30.894899,30.823208,199.383599,230.230704,0.071691,30.847105,-0.000993,0.004464,0.007934,-0.000257,0.000184,-3.6e-05,-0.000243,0.035846,-1.0,0.0,1621494144.013,282.73854166747356
48.022,230.114304,230.21312,30.807093,30.905909,199.307211,230.180181,-0.098816,30.87297,-0.000458,0.003454,0.00645,-1.2e-05,-4.3e-05,-2.7e-05,0.001031,-0.049408,-1.0,0.0,1621494152.022,283.539119882791
56.008,230.599313,230.312546,31.199381,30.912614,199.399932,230.408135,0.286767,31.008203,-0.001222,0.004901,0.008579,-0.00063,0.000199,-0.000215,0.000758,0.143384,-1.0,0.0,1621494160.008,283.54128612994197
64.02,230.367361,230.34411,31.027507,31.004256,199.339854,230.35186,0.023251,31.012006,-0.001222,0.004578,0.007934,1.2e-05,1.8e-05,1.5e-05,-3e-05,0.011626,-1.0,0.0,1621494168.02,283.54128612994197
72.019,230.301091,230.430911,30.907963,31.037783,199.393128,230.387638,-0.12982,30.99451,-0.000458,0.00468,0.008901,0.000163,4.5e-05,0.000104,-0.000121,-0.06491,-1.0,0.0,1621494176.019,285.1570321217798
